number,stateCode,state,townCode,town,localCode,local
91,11,GUANAJUATO,033,SAN LUIS DE LA PAZ,0001,SAN LUIS DE LA PAZ
91,13,HIDALGO,028,HUEJUTLA DE REYES,0001,HUEJUTLA DE REYES
91,15,MÉXICO                      ,076,SAN MATEO ATENCO,0001,SAN MATEO ATENCO
91,29,TLAXCALA,048,LA MAGDALENA TLALTELULCO,0001,LA MAGDALENA TLALTELULCO
92,15,MÉXICO                      ,052,MALINALCO,0001,MALINALCO
93,04,CAMPECHE,003,CARMEN,0001,CIUDAD DEL CARMEN
93,20,OAXACA,399,SANTA MARÍA ATZOMPA,0001,SANTA MARÍA ATZOMPA
93,29,TLAXCALA,041,PAPALOTLA DE XICOHTÉNCATL,0001,PAPALOTLA
93,30,VERACRUZ DE IGNACIO DE LA LLAVE,155,TANTOYUCA,0001,TANTOYUCA
94,16,MICHOACÁN DE OCAMPO       ,052,LÁZARO CÁRDENAS,0001,CIUDAD LÁZARO CÁRDENAS
94,20,OAXACA,184,SAN JUAN BAUTISTA TUXTEPEC,0001,SAN JUAN BAUTISTA TUXTEPEC
94,20,OAXACA,284,SAN MIGUEL TILQUIÁPAM,0001,SAN MIGUEL TILQUIÁPAM
95,12,GUERRERO,066,TLAPA DE COMONFORT,0001,TLAPA DE COMONFORT
95,13,HIDALGO,076,TULA DE ALLENDE,0001,TULA DE ALLENDE
95,14,JALISCO,067,PUERTO VALLARTA,0001,PUERTO VALLARTA
95,15,MÉXICO                      ,043,XALATLACO,0001,XALATLACO
96,13,HIDALGO,050,PROGRESO DE OBREGÓN,0001,PROGRESO
96,21,PUEBLA,163,TEPATLAXCO DE HIDALGO,0001,TEPATLAXCO DE HIDALGO
98,30,VERACRUZ DE IGNACIO DE LA LLAVE,189,TUXPAN,0001,TÚXPAM DE RODRÍGUEZ CANO
99,10,DURANGO,007,GÓMEZ PALACIO,0001,GÓMEZ PALACIO
100,16,MICHOACÁN DE OCAMPO       ,076,SAHUAYO,0001,SAHUAYO DE MORELOS
100,17,MORELOS,017,PUENTE DE IXTLA,0009,XOXOCOTLA
101,06,COLIMA,007,MANZANILLO,0001,MANZANILLO
101,15,MÉXICO                      ,023,COYOTEPEC,0001,COYOTEPEC
102,09,DISTRITO FEDERAL,004,CUAJIMALPA DE MORELOS,0001,CUAJIMALPA DE MORELOS
103,13,HIDALGO,041,MIXQUIAHUALA DE JUÁREZ,0001,MIXQUIAHUALA
103,15,MÉXICO                      ,109,TULTITLÁN,0025,SAN PABLO DE LAS SALINAS
103,16,MICHOACÁN DE OCAMPO       ,069,LA PIEDAD,0001,LA PIEDAD DE CABADAS
103,19,NUEVO LEÓN   ,046,SAN NICOLÁS DE LOS GARZA,0001,SAN NICOLÁS DE LOS GARZA
103,21,PUEBLA,094,LIBRES,0001,CIUDAD DE LIBRES
103,30,VERACRUZ DE IGNACIO DE LA LLAVE,108,MINATITLÁN,0001,MINATITLÁN
104,21,PUEBLA,053,CHIGNAHUAPAN,0001,CIUDAD DE CHIGNAHUAPAN
104,21,PUEBLA,132,SAN MARTÍN TEXMELUCAN,0001,SAN MARTÍN TEXMELUCAN DE LABASTIDA
105,11,GUANAJUATO,035,SANTA CRUZ DE JUVENTINO ROSAS,0001,JUVENTINO ROSAS
107,12,GUERRERO,038,ZIHUATANEJO DE AZUETA,0001,ZIHUATANEJO
107,13,HIDALGO,008,APAN,0001,APAN
107,15,MÉXICO                      ,014,ATLACOMULCO,0001,ATLACOMULCO DE FABELA
107,15,MÉXICO                      ,091,TEOLOYUCAN,0001,TEOLOYUCAN
108,11,GUANAJUATO,026,ROMITA,0001,ROMITA
109,32,ZACATECAS,010,FRESNILLO,0001,FRESNILLO
112,29,TLAXCALA,006,CALPULALPAN,0001,CALPULALPAN
113,23,QUINTANA ROO,004,OTHÓN P. BLANCO,0001,CHETUMAL
114,20,OAXACA,059,MIAHUATLÁN DE PORFIRIO DÍAZ,0001,MIAHUATLÁN DE PORFIRIO DÍAZ
114,30,VERACRUZ DE IGNACIO DE LA LLAVE,044,CÓRDOBA,0001,CÓRDOBA
116,20,OAXACA,550,SAN JERÓNIMO TLACOCHAHUAYA,0002,MACUILXÓCHITL DE ARTIGAS CARRANZA
118,21,PUEBLA,154,TECAMACHALCO,0001,TECAMACHALCO
118,30,VERACRUZ DE IGNACIO DE LA LLAVE,118,ORIZABA,0001,ORIZABA
119,11,GUANAJUATO,042,VALLE DE SANTIAGO,0001,VALLE DE SANTIAGO
119,15,MÉXICO                      ,106,TOLUCA,0083,SAN PABLO AUTOPAN
122,21,PUEBLA,071,HUAUCHINANGO,0001,HUAUCHINANGO
123,30,VERACRUZ DE IGNACIO DE LA LLAVE,124,PAPANTLA,0001,PAPANTLA DE OLARTE
124,14,JALISCO,108,TUXPAN,0001,TUXPAN
